area_id,area_name,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
122031428,Frenchs Forest - Belrose,110.6,160.2,145.1,122.8,100.9,129,76.4,72.8,66.9,76.8,100.1,93.3,1268.6
122031429,Freshwater - Brookvale,147.8,178.8,177.7,138.6,154.1,129.9,59.6,56.9,49.9,82.5,115.7,114.3,1380.8
115021298,Galston - Laughtondale,69.9,160.3,106.3,70.4,59.9,71.3,41,28.3,50.7,63.9,88.2,93.2,839.2
126021498,Gladesville - Huntleys Point,80.8,142.3,118.8,89.6,70.9,107.2,54.3,53.7,52.4,70.9,83.1,75.1,990.1
117031331,Glebe - Forest Lodge,80.5,92.5,97,68.5,70.9,80.3,53.1,50.6,50.1,68.2,68.1,77.1,859
116031314,Glendenning - Dean Park,104.1,113.3,94.2,67.4,70.6,79.7,41.2,52.2,38,64.6,84.2,70.1,913.4
115011294,Glenhaven,105.5,134.3,125.6,95.5,71.7,107.7,48.9,61.3,52.1,69.9,92.4,75.3,1078.5
124031460,Glenmore Park - Regentville,85.8,86.9,84.1,62.8,54.3,61.4,42.5,40,39.2,56,65.9,67.4,742.1
116021309,Glenwood,90.3,121.8,89.3,81.9,72.2,69.9,42.5,50.7,49.4,61.5,83.9,67.3,874.7
121031407,Gordon - Killara,123.9,136.3,142.1,115.4,108.3,123.2,85.1,77.6,67.2,82.4,91.2,91.6,1241.1
102021048,Gorokan - Kanwal - Charmhaven,88.9,124.8,145.5,127.8,103.2,138,73.4,75,66.7,84,93.4,84.1,1222.9
102011032,Gosford - Springfield,117.6,144,160.2,118.5,75.2,138.9,67.2,49.4,64.5,103.2,105.1,89.4,1222.4
101051540,Goulburn Region,61.7,62.9,59.8,42.9,40.6,52.6,40.1,54.4,47.9,52.5,62.2,61,622.7
125031481,Granville - Clyde,115,140.1,173.6,83.2,36,142,36.4,68,46.4,61.5,80,79.2,1101.6
127011594,Green Valley,74.1,105.9,98.8,53.7,39,76,32,31.5,33.7,54,66.2,66,699.7
119011357,Greenacre - Mount Lewis,78,115.2,95.1,94.8,73,107.2,57.3,61.8,48.1,63.2,73.8,64.1,972.5
127021517,Greenfield Park - Prairiewood,74.1,105.9,98.8,53.7,39,76,32,31.5,33.7,54,66.2,66,699.7
125031482,Greystanes - Pemulwuy,81.2,138.7,112.6,69.7,40.2,85.2,37.8,36.2,39.8,61.8,70.6,70.9,854.9
125031483,Guildford - South Granville,103.6,132.8,115,89.1,77.3,78.2,47.3,51.8,53.2,71.6,97.2,76.6,997.1
125031484,Guildford West - Merrylands West,103.6,132.8,115,89.1,77.3,78.2,47.3,51.8,53.2,71.6,97.2,76.6,997.1
128011529,Gymea - Grays Point,76.1,133.6,110.2,95,86.6,91.3,63.4,74.1,42.8,57.1,80.1,67,957.1
120031395,Haberfield - Summer Hill,88.3,120,132.1,94.9,46.9,158.2,71.9,50.9,61.6,77.1,83,80.7,1097
116031315,Hassall Grove - Plumpton,76.2,89.6,52.5,48.6,38.6,45.1,27.5,22.3,32.5,41.3,65.7,62.9,619.9
128021533,Heathcote - Waterfall,87.8,122.2,122,117.7,102.5,120.2,64.9,68.2,55.3,68.2,91.4,76,1096.9
114021285,Hill Top - Colo Vale,58.9,58.4,56.4,37.3,33.6,39.1,30.5,31.6,38.3,54.5,61.9,59.9,577
127011595,Hinchinbrook,52.6,153.6,65.7,59.6,53.9,76.3,34.8,22.4,35.6,54,74.6,65.9,764
127031524,Holsworthy - Wattle Grove,88.1,103.1,128.2,56.8,30.7,102.8,34,56.9,32.7,49.3,57.2,55.8,790.9
123021439,Holsworthy Military Area,88.1,103.1,128.2,56.8,30.7,102.8,34,56.9,32.7,49.3,57.2,55.8,790.9
120031396,Homebush,103.2,126.5,130.5,103.3,93.9,121.6,66.5,71.9,60.7,75.2,87.2,77.2,1127.9
125011473,Homebush Bay - Silverwater,115,140.1,173.6,83.2,36,142,36.4,68,46.4,61.5,80,79.2,1101.6
121021577,Hornsby - East,98.9,146.8,167,120.1,48.6,121.9,41.6,58.4,55.9,94.5,87.7,92.2,1156.9
121021578,Hornsby - West,98.9,146.8,167,120.1,48.6,121.9,41.6,58.4,55.9,94.5,87.7,92.2,1156.9
127021518,Horsley Park - Kemps Creek,73.4,118.3,94.5,67,42.7,72.6,39.5,38.2,37.1,61.1,74.8,65.7,771.7
127011596,Hoxton Park - Carnes Hill - Horningsea Park,52.6,153.6,65.7,59.6,53.9,76.3,34.8,22.4,35.6,54,74.6,65.9,764
126021499,Hunters Hill - Woolwich,107.3,110.7,126.7,109.2,104.7,118.5,84.1,71.2,61.6,75.9,79.8,84,1129.9
119031368,Hurstville,106,107.6,119.5,106.1,93.6,114,61.1,76.1,58.1,72.7,80.1,73.7,1062.2
123021440,Ingleburn - Denham Court,75.6,93.8,88.7,52,49.7,68.5,37.9,42.8,41.8,48.8,71.4,62,724.9
124031461,Jamisontown - South Penrith,100,99.9,89.8,71.2,60.8,59.4,43.8,40.5,42.3,58.3,82.2,79.8,834.4
102021049,Jilliby - Yarramalong,83.7,133.8,117,114.1,55.6,137.5,36.7,47.4,63.1,59.1,89.3,72.3,1012.5
102011033,Kariong,140.5,189.7,176.8,119.3,107.2,129.4,62.7,76,64.6,94.5,107.8,104.6,1404.9
